CNTRYID,CNT,CNTSCHID,CNTSTUID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,Option_CPS,Option_FL,Option_UH,Option_Read,Option_Math,LANGTEST_COG,BOOKID,CM033Q01S,CM033Q01T,CM474Q01S,CM474Q01T,CM155Q01S,CM155Q01T,CM155Q04S,CM155Q04T,CM411Q01S,CM411Q01T,CM411Q02S,CM411Q02T,CM803Q01S,CM803Q01T,CM442Q02S,CM442Q02T,CM034Q01S,CM034Q01T,CM305Q01S,CM305Q01T,CM496Q01S,CM496Q01T,CM496Q02S,CM496Q02T,CM423Q01S,CM423Q01T,CM603Q01S,CM603Q01T,CM571Q01S,CM571Q01T,CM564Q01S,CM564Q01T,CM564Q02S,CM564Q02T,total_raw,total_time
158,TAP,15800070,15807073,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,34008,1,42018,1,55726,1,28646,1,178260,1,27633,0,47772,0,133178,1,200790,1,92641,1,144002,1,55799,1,20389,0,76037,0,124372,1,63542,0,27854,11,1352667
158,TAP,15800071,15805083,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35993,1,30786,0,71356,0,50947,0,118611,0,35918,0,61062,0,89457,0,28049,0,33382,0,55207,1,33016,1,10296,0,90247,0,6855,1,13404,0,7103,5,771689
158,TAP,15800073,15806907,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,34174,1,30733,1,20315,1,34267,1,43618,1,31545,1,89026,1,98200,0,83060,0,103173,1,77807,1,44144,1,71498,0,96839,1,86911,1,13363,1,110799,14,1069472
158,TAP,15800074,15801941,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,59870,0,14010,1,26955,1,46352,0,18974,1,13452,0,31427,0,100141,0,63989,1,70592,0,59181,1,81551,1,13717,0,82371,0,25378,0,2635,1,30706,8,741301
158,TAP,15800075,15800258,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,45156,1,33445,1,46808,0,103522,0,144773,1,54075,0,50729,0,339913,1,182261,0,15636,0,45754,0,43023,1,25514,0,6651,0,5126,1,5209,0,5158,7,1152753
158,TAP,15800077,15801904,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,25229,1,40909,1,55806,1,101799,1,78163,0,172716,0,98997,0,331929,1,157986,0,84656,1,71425,1,24263,1,10003,1,144143,1,105725,1,12420,1,1294,13,1517463
158,TAP,15800078,15801971,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,33215,1,44611,1,58637,1,52929,0,93255,1,26151,0,94902,1,160881,1,344571,1,57491,0,128063,1,120380,1,21625,0,124062,1,84425,1,77882,0,55993,11,1579073
158,TAP,15800079,15804918,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,30436,1,30337,0,70638,0,49911,0,27967,0,19738,0,83771,0,88382,0,26707,0,29140,0,34256,0,149391,1,17791,0,18208,0,40761,0,28380,0,85405,2,831219
158,TAP,15800080,15807434,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,25445,1,18750,1,98349,1,48837,0,92327,0,49783,0,43888,0,163637,0,27154,0,36417,0,94343,1,43481,1,13266,0,150643,0,45697,0,45810,1,52675,6,1050502
158,TAP,15800081,15806592,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,38094,1,69565,1,63755,1,60857,0,92393,1,26417,1,67919,1,122252,1,119451,1,72611,1,196287,1,56056,1,15601,1,161534,1,103677,1,69260,1,175189,16,1510918
158,TAP,15800082,15801310,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,79612,1,38495,1,46129,0,36949,0,102207,0,30007,1,57694,0,102645,1,82764,1,46401,1,72767,1,56574,1,23684,0,76023,0,19191,1,68610,0,49637,10,989389
158,TAP,15800083,15807744,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,78615,1,32969,1,38117,1,100864,1,115086,1,86283,0,75876,1,156353,1,67791,0,109726,1,56947,1,88238,1,33407,0,123649,1,113873,1,70159,1,45485,14,1393438
158,TAP,15800084,15802998,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,30980,1,25142,1,44292,1,58308,0,121914,1,29712,1,37424,1,96882,0,64711,1,63703,1,52397,1,42313,1,7439,0,107711,1,67870,1,25860,1,29802,13,906460
158,TAP,15800086,15806525,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,21348,1,30639,1,2238,1,43113,1,103943,1,46769,0,53538,0,129567,1,133388,1,112047,1,116330,0,42763,1,17550,0,131373,1,143904,1,15248,1,85803,13,1229561
158,TAP,15800087,15805978,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,30661,0,20209,1,214737,1,66803,0,219612,1,33747,0,75285,0,193726,0,60101,0,42380,1,377859,0,537443,1,23120,1,72631,0,45807,1,55302,0,35761,8,2105184
158,TAP,15800088,15802532,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,14417,1,49338,1,42176,0,54052,1,19216,1,28332,1,25037,0,136775,0,84237,0,43582,1,67689,1,47500,1,10996,0,63305,1,68382,1,76136,1,81620,12,912790
158,TAP,15800090,15804466,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,32263,1,30945,1,70731,0,2843,0,163424,1,45987,0,94074,1,171230,1,65217,1,115870,1,81435,1,50446,1,13816,0,77380,1,52094,1,48440,1,72474,13,1188669
158,TAP,15800091,15801838,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,100105,1,35329,1,45211,1,72533,0,453513,0,47603,0,72277,0,140453,1,79518,0,8258,0,58506,1,229085,1,16024,0,8724,0,14441,0,59181,0,10392,7,1451153
158,TAP,15800092,15804931,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,46849,1,34572,1,26562,1,45132,1,88270,1,50075,0,104326,1,220842,1,154498,1,70450,1,2292,0,24077,1,12532,0,107326,1,199962,1,41430,1,35003,14,1264198
158,TAP,15800093,15805135,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,38859,1,28196,0,70673,0,77679,1,127943,0,39008,0,60472,0,165130,0,60508,1,41724,0,63572,1,58654,1,36188,1,111380,0,15422,1,68698,0,10674,7,1074780
158,TAP,15800094,15800940,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,0,20911,1,22189,0,112118,1,43874,0,66693,0,8789,0,43945,0,126833,0,52484,0,38877,0,70251,0,147316,1,15090,0,48943,0,6826,0,22782,0,37214,3,885135
158,TAP,15800095,15806261,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,35076,0,34833,0,62243,0,57565,1,148174,0,19770,0,55115,0,304057,0,72217,1,40985,0,7644,0,42566,1,18220,0,52032,0,16913,0,33656,0,27588,4,1028654
158,TAP,15800096,15805344,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,42592,1,35722,1,72699,1,43766,0,156390,0,42904,0,66053,0,193007,1,77132,0,45755,1,24691,1,6906,1,37833,0,50601,0,38816,1,64616,1,57927,10,1057410
158,TAP,15800099,15802470,06MS,15800,15800,TAP9797,1580000,0,2,1,0,0,A,A,316,43,1,45832,1,30179,1,64046,1,59983,1,81859,1,34385,1,80547,1,198648,0,85187,0,70492,1,85389,1,49679,1,15308,0,100778,1,59099,1,55938,1,95838,14,1213187
